"ID","Category","Failure_Mode","Inherent_SODRPN","Residual_SODRPN","Priority","Release_Gate_Impact","Owner_Role","Status","Control_Effectiveness","KRI","Trigger_Threshold","Mitigation_Plan","Contingency_Plan","Evidence_Classes","Evidence_Confidence","Evidence_Date","Target_Date","Accepted_By","Acceptance_Expiry","Evidence"
"JTS-R-012","CI/CD and Test Assurance","Multi-form release-path E2E execution remains incomplete while aggregate command implies broader coverage","4/4/4=64","4/4/3=48","High","Conditional","QA Lead","Open","2","KRI-012","Any supported release form/workflow absent from aggregate E2E command evidence","Implement and require all-form release validation plan with explicit command-to-form mapping","Restrict release to forms with validated end-to-end evidence","I,T,R","Medium","2026-03-24","2026-05-01","TBD","TBD","packages/scripts/end-to-end-tests/IMPLEMENTATION.md:360; packages/scripts/end-to-end-tests/default.nix:474; packages/scripts/end-to-end-tests/default.nix:475"
"JTS-R-013","Application Workflow Integrity","With-review re-entry behavior remains unresolved in known gap list","4/3/4=48","4/3/3=36","Medium","Conditional","Application Engineering Lead","Open","2","KRI-013","Any with-review re-entry unresolved in release candidate","Resolve re-entry behavior and assertion contract","Treat as release blocker for affected form path","I,T,R","Medium","2026-03-23","2026-04-05","TBD","TBD","packages/scripts/end-to-end-tests/IMPLEMENTATION.md:370"
"JTS-R-014","Governance and Compliance Controls","Update lifecycle automation remains incomplete by documented admission","3/3/4=36","3/3/3=27","Medium","Monitor","Program/Delivery Authority","Open","2","KRI-014","Automation maturity KPI below agreed minimum","Define automation roadmap milestones with owners","Use manual sign-off gate until roadmap milestone met","D,G","Medium","2026-03-23","2026-04-30","TBD","TBD","docs/ops-platform-guide.md:337"
"JTS-R-015","Governance and Compliance Controls","Software update/change-management sections are TODO/incomplete","4/3/4=48","3/3/4=36","Medium","Conditional","Program/Delivery Authority","Open","2","KRI-015","Any TODO section in release-significant governance docs","Complete update/change-management sections and controls","Add temporary governance checklist gate","D,G","Medium","2026-03-23","2026-04-15","TBD","TBD","docs/ops-platform-guide.md:319; docs/ops-platform-guide.md:341"
"JTS-R-016","Infrastructure and Deployment","Offline deployment relies on manual DCOPs transfer scheduling","3/4/4=48","3/4/3=36","Medium","Conditional","Operations Lead","Open","2","KRI-016","DCOP transfer latency exceeds release SLA","Define handoff SLA, backup approvers, and escalation tree","Delay release and re-baseline cutover schedule","D,R,G","Medium","2026-03-23","2026-04-20","TBD","TBD","docs/ops-platform-guide.md:144; docs/ops-platform-guide.md:284"
"JTS-R-017","Documentation and Operational Readiness","Transfer command example quality issues can cause runbook execution errors","2/3/4=24","2/3/4=24","Medium","Monitor","Operations Lead","Open","3","KRI-017","Runbook command quality defects in release path docs","Add runbook lint/review checklist and command validation","Require operator dry-run checklist before execution","D,G","Medium","2026-03-23","2026-04-12","TBD","TBD","docs/ops-platform-guide.md:146"
"JTS-R-018","Infrastructure and Deployment","Host deployment scripts tolerate prerequisite failures and rely on reboot/rerun recovery patterns","4/3/4=48","4/4/3=48","High","Conditional","Operations/Release Authority","Open","2","KRI-018","Deployment prerequisites fail but host deploy scripts continue, or rerun-only recovery is used","Convert fail-open setup steps to fail-closed scripts with explicit health checks and rollback guidance","Require dual-control operator execution and sign-off","D,I,R,G","Medium","2026-03-24","2026-05-05","TBD","TBD","packages/deploy-hil-web-service-host/default.nix:44; packages/deploy-hil-web-service-host/default.nix:59; packages/deploy-deployment-host/default.nix:13"
"JTS-R-019","Governance and Compliance Controls","PR template does not enforce risk/security/rollback evidence","4/4/4=64","4/4/3=48","High","Conditional","QA Lead + Security Lead","Open","2","KRI-019","PRs missing risk/security/rollback evidence >0 for release scope","Add mandatory PR fields for risk, security, rollback, evidence links","Block merge until template fields complete","D,G","Medium","2026-03-23","2026-04-03","TBD","TBD",".github/PULL_REQUEST_TEMPLATE.md:18; .github/PULL_REQUEST_TEMPLATE.md:21; .github/PULL_REQUEST_TEMPLATE.md:34"
"JTS-R-020","Infrastructure and Deployment","Terraform backend approach differs across environments, including local root-host state in PP, increasing state-control inconsistency risk","4/4/4=64","4/4/3=48","High","Conditional","Platform/DevOps Lead","Open","2","KRI-020","State backend policy mismatch across environments or any release environment using local root-host state","Standardize backend policy with locking controls for all environments","Hold promotion until state policy mismatch resolved","I,G","Medium","2026-03-24","2026-04-22","TBD","TBD","packages/jts-deploy/dev-providers.nix:4; packages/jts-deploy/pp-providers.nix:4; packages/jts-deploy/pp-providers.nix:5"
"JTS-R-021","Security and Access Control","IAM/action scope appears broadly permissive in architecture-defined role policy examples","5/3/4=60","5/3/3=45","Critical","Block","Cloud Security Architect","Open","2","KRI-021","Wildcard IAM scope count above policy threshold","Tighten policies to least privilege and review exceptions","Time-bound compensating control with access review cadence","D,I,S","Medium","2026-03-23","2026-04-14","TBD","TBD","docs/design/system-design-doc.md:396; docs/design/system-design-doc.md:397; docs/design/system-design-doc.md:398"
"JTS-R-022","Security and Access Control","Network security control documentation is incomplete","4/3/5=60","4/3/4=48","High","Conditional","Cloud Security Architect + Ops Lead","Open","2","KRI-022","Network control docs incomplete at release review","Populate network security matrix with enforceable controls","Security waiver with short expiry and focused monitoring","D,S,G","Medium","2026-03-23","2026-04-18","TBD","TBD","docs/design/system-design-doc.md:424; docs/design/system-design-doc.md:426"
"JTS-R-023","Recovery and Rollback","Failover/recovery sections are placeholders across core stores","5/3/5=75","5/3/4=60","Critical","Block","Operations/Release Authority","Open","1","KRI-023","Failover/recovery sections incomplete for critical stores","Define and validate failover/recovery procedures by store","Block production cutover until recovery evidence exists","D,Rc,G","Low","2026-03-23","2026-04-30","TBD","TBD","docs/design/system-design-doc.md:316; docs/design/system-design-doc.md:342; docs/design/system-design-doc.md:359"
"JTS-R-024","Security and Access Control","Dev host config includes fallback secrets for auth values","5/3/4=60","5/3/3=45","Critical","Block","Cloud Security Architect + Platform Lead","Open","2","KRI-024","Any fallback secret present in active release configuration","Remove fallback secrets and require managed secret source only","Halt release and rotate impacted credentials","I,S,G","Medium","2026-03-23","2026-04-06","TBD","TBD","modules/systems/hil-web-service-host-dev/default.nix:65; modules/systems/hil-web-service-host-dev/default.nix:67"
"JTS-R-025","Infrastructure and Deployment","Container image tags use mutable latest references in host config","4/3/4=48","4/3/3=36","Medium","Conditional","Platform/DevOps Lead","Open","2","KRI-025","Mutable image tag usage detected in release configuration","Pin image tags/digests in deploy paths","Freeze deploy rollout pending digest pinning","I,S","Medium","2026-03-23","2026-04-17","TBD","TBD","modules/systems/hil-web-service-host-dev/default.nix:258; modules/systems/hil-web-service-host-dev/default.nix:336"
"JTS-R-026","Security and Access Control","Default Keycloak bootstrap/admin and DB passwords exist in service config defaults","5/3/4=60","5/3/3=45","Critical","Block","Cloud Security Architect + Platform Lead","Open","2","KRI-026","Default admin/password values present in runtime configuration","Remove defaults and enforce secret injection precondition","Rotate credentials and block release until verified","I,S","Medium","2026-03-23","2026-04-06","TBD","TBD","modules/systems/hil-web-service-host-dev/default.nix:293; modules/systems/hil-web-service-host-dev/default.nix:297"
"JTS-R-027","Security and Access Control","Infrastructure contains public exposure and destructive DB/S3 lifecycle defaults that materially weaken recoverability","5/4/4=80","5/4/3=60","Critical","Block","Cloud Security Architect + Infrastructure Lead","Open","1","KRI-027","Public exposure or destructive DB/S3 lifecycle defaults detected (including skip snapshots, force destroy, disabled versioning)","Harden SG/DB/S3 settings and add policy checks","Pause release and apply compensating access controls","I,S,Rc","Low","2026-03-24","2026-04-16","TBD","TBD","packages/jts-deploy/infrastructure/dependencies/main.tf:1001; packages/jts-deploy/infrastructure/dependencies/main.tf:1002; packages/jts-deploy/infrastructure/dependencies/main.tf:1207; packages/jts-deploy/infrastructure/dependencies/main.tf:1213"
"JTS-R-028","Security and Access Control","Static SSH authorized keys are embedded in instance user data","5/3/4=60","5/3/3=45","Critical","Block","Cloud Security Architect + Infrastructure Lead","Open","2","KRI-028","Static embedded SSH keys remain in infrastructure code","Move to managed key distribution and rotate keys","Revoke exposed keys and audit host access","I,S,G","Medium","2026-03-23","2026-04-10","TBD","TBD","packages/jts-deploy/infrastructure/dependencies/main.tf:1112; packages/jts-deploy/infrastructure/dependencies/main.tf:1115"
"JTS-R-029","Data Pipeline and Quality","DVC workflow relies on manual push discipline; missing push breaks branch reproducibility","3/3/4=36","3/3/3=27","Medium","Conditional","Data Governance Lead + DevOps Lead","Open","3","KRI-029","DVC/Nix reproducibility check fails for branch/release candidate","Enforce CI check for example-forms build and DVC object availability","Block merge/release for data pointer changes","D,I,T,G","Medium","2026-03-23","2026-04-24","TBD","TBD","docs/DVC-README.md:8; docs/DVC-README.md:170; docs/DVC-README.md:177"
"JTS-R-030","Application Workflow Integrity","High complexity/churn hotspots in core workflows increase regression probability","4/4/4=64","4/4/3=48","High","Conditional","Application Engineering Lead","Open","2","KRI-030","Hotspot complexity trend worsens across release cycles","Execute hotspot decomposition plan with changed-file gates","Restrict risky change windows and add dual-path validation","D,I,T,R","Medium","2026-03-23","2026-05-15","TBD","TBD","complexity_analysis_exec_summary.md:30; complexity_analysis_exec_summary.md:40; complexity_analysis.md:65"
"JTS-R-031","Forecasting and Estimation Governance","Optimism bias and strategic misrepresentation drive underestimated effort/risk and overstated delivery confidence","5/4/5=100","5/4/4=80","Critical","Block","Program/Delivery Authority + Risk Coordinator","Open","1","KRI-031","Forecast bias index >15% for 2 cycles or >30% in one cycle","Require independent estimate challenge and explicit bias-adjusted uplift before gate review","Apply contingency reserve and re-baseline commitments before go/no-go","D,R,G","Low","2026-03-23","2026-04-22","TBD","TBD","risk_register_plan.md:48; risk_register_plan.md:300; risk_scoring_rubric.md:115"
"JTS-R-032","Forecasting and Estimation Governance","Average-based reporting masks fat-tail black swan overruns in schedule/cost exposure","5/3/5=75","5/3/4=60","Critical","Block","Program/Delivery Authority + Cross-functional Risk Board","Open","1","KRI-032","Tail overrun incidence exceeds threshold or any >100% overrun without approved contingency","Add tail-distribution reporting and stress-test release plan at P95 assumptions","Freeze release decision and trigger black-swan contingency review","D,R,G","Low","2026-03-23","2026-04-22","TBD","TBD","risk_register_plan.md:270; risk_register_plan.md:300; risk_scoring_rubric.md:129"
"JTS-R-033","Forecasting and Estimation Governance","Release planning relies on inside-view assumptions without reference class forecasting calibration","4/4/5=80","4/4/4=64","Critical","Block","Risk Coordinator + Program/Delivery Authority","Open","1","KRI-033","Reference class forecast coverage <100% for release-significant estimates","Build and enforce reference class library with documented comparator quality","No-go until outside-view forecast packet is complete and approved","D,R,G","Low","2026-03-23","2026-04-20","TBD","TBD","risk_register_plan.md:48; risk_register_plan.md:304; risk_scoring_rubric.md:119"
"JTS-R-034","Security and Access Control","Form APIs expose workflow token-bearing form payloads and permit broad CRUD mutation paths outside state-transition controls","5/4/4=80","5/4/3=60","Critical","Block","Application Engineering Lead + Cloud Security Architect","Open","1","KRI-034","Any API/form payload exposes workflow task token or direct CRUD mutation outside approved transition endpoints","Remove token exposure from browser payloads and enforce server-side transition-only mutation API","Freeze release and rotate/void exposed workflow tokens","I,S,G","Low","2026-03-24","2026-04-09","TBD","TBD","packages/hil-web-service/src/app/api/forms/[id]/route.ts:11; packages/hil-web-service/src/app/api/forms/[id]/route.ts:44; packages/hil-web-service/src/app/api/forms/[id]/route.ts:103; packages/hil-web-service/src/types/formTypes.ts:152; packages/hil-web-service/src/app/forms/[id]/page.tsx:350"
"JTS-R-035","Security and Access Control","DEV_MODE pathways can bypass lock/session controls and log full session payloads in protected routes","4/4/4=64","4/4/3=48","High","Conditional","Application Engineering Lead + Cloud Security Architect","Open","2","KRI-035","Any non-dev deployment with DEV_MODE enabled or middleware logs full session payloads","Add startup guardrails that hard-fail non-dev when DEV_MODE=true and remove sensitive session logging","Halt release and perform environment + logging remediation review","I,S,G","Medium","2026-03-24","2026-04-11","TBD","TBD","packages/hil-web-service/src/app/api/utils/getUserSession.ts:15; packages/hil-web-service/src/proxy.ts:14; packages/hil-web-service/src/app/api/forms/[id]/lock/acquire/route.ts:16; packages/hil-web-service/src/app/api/forms/[id]/lock/release/route.ts:17"
"JTS-R-036","Data Pipeline and Quality","Shared DynamoDB update helper is non-atomic and swallows client errors while used in multiple workflow lambdas","5/4/4=80","5/4/3=60","Critical","Block","Data Governance Lead + Platform/DevOps Lead","Open","1","KRI-036","Any workflow write path uses non-conditional shared update helper or swallows Dynamo client errors","Add conditional/versioned update contract and fail on write errors with alerting","Freeze release and run data-integrity reconciliation on affected forms","I,T,R,G","Low","2026-03-24","2026-04-19","TBD","TBD","packages/jts_pylib/jts_pylib/aws_utils/dynamo/dynamo.py:116; packages/jts_pylib/jts_pylib/aws_utils/dynamo/dynamo.py:147; packages/jts_pylib/jts_pylib/aws_utils/dynamo/dynamo.py:153; packages/lambdas/process-textract/process_textract_lambda.py:947; packages/lambdas/validate-form-type/identify_form.py:61; packages/lambdas/process-trauma-log-xls/trauma_log.py:276"
"JTS-R-037","Application Workflow Integrity","Duplicate suppression path is race-prone and metadata failure handling has an undefined-variable exception path","4/4/4=64","4/4/3=48","High","Conditional","Application Engineering Lead + Data Governance Lead","Open","2","KRI-037","Duplicate hash collision incidents or preprocessing metadata exception path defects in release candidates","Implement transactional duplicate guard and fix metadata exception handling paths","Route potentially duplicated forms to mandatory manual adjudication","I,T,R","Medium","2026-03-24","2026-04-15","TBD","TBD","packages/lambdas/preprocessing/preprocessing.py:123; packages/lambdas/preprocessing/preprocessing.py:132; packages/lambdas/preprocessing/preprocessing.py:251; packages/lambdas/preprocessing/preprocessing.py:165; packages/lambdas/preprocessing/preprocessing.py:167"
"JTS-R-038","Governance and Compliance Controls","Build and schema provenance rely on install-time side effects and vendored nested VCS metadata in shipped schema assets","4/3/4=48","4/3/3=36","Medium","Conditional","Program/Delivery Authority + Application Engineering Lead","Open","2","KRI-038","Release build depends on unmanaged postinstall side effects or ships nested VCS metadata in schema assets","Move to pinned workspace build flow and remove nested VCS metadata from shipped artifacts","Restrict release evidence to reproducible build artifacts only","D,I,G","Medium","2026-03-24","2026-04-26","TBD","TBD","packages/hil-web-service/package.json:7; packages/jts-npmlib/form-validator/package.json:12; packages/jts-npmlib/form-validator/src/schemas/.git/HEAD:1"
"JTS-R-039","Security and Access Control","Artifact transport and deployment paths explicitly bypass signature verification and trust-policy enforcement","5/4/4=80","5/4/3=60","Critical","Block","Cloud Security Architect + Platform/DevOps Lead","Open","1","KRI-039","Any release artifact transfer/deploy path uses signature-verification bypass flags or permissive trust policy","Enforce signed artifact verification and remove permissive policy fallbacks from deploy/export tooling","Block release and require provenance attestation for impacted artifacts","I,S,G","Low","2026-03-24","2026-04-13","TBD","TBD","packages/jts-deploy/default.nix:157; packages/deploy-hil-web-service-host/README.md:34; packages/ci/exportPackages.nix:28"
"JTS-R-040","Security and Access Control","Workflow use_localstack control-path bypass can disable NLP/PHI controls in non-local environments","5/3/4=60","5/2/4=40","Critical","Block","Cloud Security Architect + Platform/DevOps Lead","Open","2","KRI-040","Any non-local deployment/workflow module with use_localstack=true, or any execution path skipping NLP/PHI controls via localstack branch","Add environment guardrails that hard-fail non-local runs when use_localstack=true and enforce policy checks in CI/IaC review","Halt release, disable bypass paths, and reprocess affected forms through full control path","I,S,G","Medium","2026-03-24","2026-04-08","TBD","TBD","arch_review/findings-2.md:30; packages/jts-deploy/infrastructure/workflows/statemachine/da4700.statemachine.asl.json:564; packages/jts-deploy/infrastructure/workflows/statemachine/da4700.statemachine.asl.json:574; packages/jts-deploy/infrastructure/workflows/main.tf:324"
"JTS-R-041","Security and Access Control","Step Functions/Lambda logging paths can expose sensitive execution payload content during normal/error processing","5/4/4=80","5/3/3=45","Critical","Block","Cloud Security Architect + Platform/DevOps Lead","Open","1","KRI-041","Any workflow log/error publish event containing disallowed sensitive fields or unredacted execution payload","Redact/minimize workflow payload logging, restrict execution-data logging posture, and add sensitive-field detection alerts","Freeze release, restrict log access, and execute retrospective exposure review with remediation evidence","I,R,S,G","Low","2026-03-24","2026-04-14","TBD","TBD","arch_review/initial-log-aggregation-plan.md:47; arch_review/initial-log-aggregation-plan.md:205; packages/jts-deploy/infrastructure/workflows/modules/sf_workflow/main.tf:62; packages/jts-deploy/infrastructure/workflows/statemachine/da4700.statemachine.asl.json:552; packages/lambdas/ocr-form/identify_form.py:144"
"JTS-R-042","Data Pipeline and Quality","Cross-service schema contract governance is non-authoritative and non-versioned, allowing silent web/lambda/Dynamo drift","4/4/4=64","4/4/3=48","High","Conditional","Application Engineering Lead + Data Governance Lead","Open","2","KRI-042","Any release-significant interface without versioned schema + compatibility test coverage, or any unresolved contract mismatch","Establish canonical schema authority, versioning policy, and compatibility gates across web/lambda/Dynamo interfaces","Block integration of affected interface changes and require manual validation + rollback plan","D,I,T,G","Medium","2026-03-24","2026-04-24","TBD","TBD","arch_review/arch_qa_plan.md:5; arch_review/arch_qa_plan.md:13; packages/hil-web-service/src/app/api/converters/form_converter.ts:3; packages/jts-npmlib/form-validator/src/form-validator.ts:14; packages/hil-web-service/src/app/api/forms/[id]/route.ts:44"
"JTS-R-043","Application Workflow Integrity","Deep workflow payload pass-through and text-heavy outputs can exceed Step Functions state-size limits","4/3/4=48","4/3/3=36","Medium","Conditional","Application Engineering Lead + Platform/DevOps Lead","Open","2","KRI-043","Any States.DataLimitExceeded/payload-size workflow failure or p95 state payload >200KB in release-candidate runs","Move large payloads to object-storage references and enforce payload-budget checks in workflow contracts","Route oversized executions to controlled fallback/manual review and pause rollout until payload budget is restored","I,T,R","Medium","2026-03-24","2026-04-21","TBD","TBD","arch_review/findings-2.md:18; packages/jts-deploy/infrastructure/workflows/statemachine/da4700.statemachine.asl.json:9; packages/jts-deploy/infrastructure/workflows/statemachine/da4700.statemachine.asl.json:72; packages/lambdas/ocr-form/identify_form.py:134; packages/lambdas/ocr-form/identify_form.py:144"
"JTS-R-044","Infrastructure and Deployment","Missing enforced workflow SLO/capacity guardrails for burst-heavy OCR/NLP paths can cause backlog and timeout cascades","4/4/4=64","4/4/3=48","High","Conditional","Platform/DevOps Lead + Operations Lead","Open","2","KRI-044","Any release-significant workflow missing defined SLOs, or sustained latency/backlog/error threshold breach in rehearsal","Define workflow SLOs and capacity thresholds, then enforce pre-release burst/concurrency validation gates","Throttle intake and defer release until capacity mitigations and rerun evidence are approved","D,I,T,R,G","Medium","2026-03-24","2026-05-10","TBD","TBD","arch_review/arch_qa_plan.md:7; arch_review/arch_qa_plan.md:23; packages/jts-deploy/infrastructure/workflows/main.tf:186; packages/jts-deploy/infrastructure/workflows/main.tf:232; packages/jts-deploy/infrastructure/workflows/statemachine/da4700.statemachine.asl.json:24"
