"ID","Category","Failure_Mode","Inherent_SODRPN","Residual_SODRPN","Priority","Release_Gate_Impact","Owner_Role","Status","Control_Effectiveness","KRI","Trigger_Threshold","Mitigation_Plan","Contingency_Plan","Evidence_Classes","Evidence_Confidence","Evidence_Date","Target_Date","Accepted_By","Acceptance_Expiry","Evidence"
"JTS-R-015","Governance and Compliance Controls","Software update/change-management sections are TODO/incomplete","4/3/4=48","3/3/4=36","Medium","Conditional","Program/Delivery Authority","Open","2","KRI-015","Any TODO section in release-significant governance docs","Complete update/change-management sections and controls","Add temporary governance checklist gate","D,G","Medium","2026-03-23","2026-04-15","TBD","TBD","docs/ops-platform-guide.md:319; docs/ops-platform-guide.md:341"
"JTS-R-016","Infrastructure and Deployment","Offline deployment relies on manual DCOPs transfer scheduling","3/4/4=48","3/4/3=36","Medium","Conditional","Operations Lead","Open","2","KRI-016","DCOP transfer latency exceeds release SLA","Define handoff SLA, backup approvers, and escalation tree","Delay release and re-baseline cutover schedule","D,R,G","Medium","2026-03-23","2026-04-20","TBD","TBD","docs/ops-platform-guide.md:144; docs/ops-platform-guide.md:284"
"JTS-R-017","Documentation and Operational Readiness","Transfer command example quality issues can cause runbook execution errors","2/3/4=24","2/3/4=24","Medium","Monitor","Operations Lead","Open","3","KRI-017","Runbook command quality defects in release path docs","Add runbook lint/review checklist and command validation","Require operator dry-run checklist before execution","D,G","Medium","2026-03-23","2026-04-12","TBD","TBD","docs/ops-platform-guide.md:146"
"JTS-R-018","Infrastructure and Deployment","Deployment path relies on privileged alias/manual sequence with variable operator execution","3/3/4=36","3/3/4=36","Medium","Conditional","Operations/Release Authority","Open","2","KRI-018","Privileged manual step variance detected in release rehearsal","Convert manual steps to controlled scripts with validation","Require dual-control operator execution and sign-off","D,I,R,G","Medium","2026-03-23","2026-05-05","TBD","TBD","docs/ops-platform-guide.md:214; docs/ops-platform-guide.md:242"
"JTS-R-019","Governance and Compliance Controls","PR template does not enforce risk/security/rollback evidence","4/4/4=64","4/4/3=48","High","Conditional","QA Lead + Security Lead","Open","2","KRI-019","PRs missing risk/security/rollback evidence >0 for release scope","Add mandatory PR fields for risk, security, rollback, evidence links","Block merge until template fields complete","D,G","Medium","2026-03-23","2026-04-03","TBD","TBD",".github/PULL_REQUEST_TEMPLATE.md:18; .github/PULL_REQUEST_TEMPLATE.md:21; .github/PULL_REQUEST_TEMPLATE.md:34"
"JTS-R-020","Infrastructure and Deployment","Terraform backend approach differs across environments, increasing state-control inconsistency risk","4/3/4=48","4/3/3=36","Medium","Conditional","Platform/DevOps Lead","Open","2","KRI-020","State backend policy mismatch across environments","Standardize backend policy and locking controls","Hold promotion until state policy mismatch resolved","I,G","Medium","2026-03-23","2026-04-22","TBD","TBD","packages/jts-deploy/dev-providers.nix:4; packages/jts-deploy/pp-providers.nix:4"
"JTS-R-021","Security and Access Control","IAM/action scope appears broadly permissive in architecture-defined role policy examples","5/3/4=60","5/3/3=45","Critical","Block","Cloud Security Architect","Open","2","KRI-021","Wildcard IAM scope count above policy threshold","Tighten policies to least privilege and review exceptions","Time-bound compensating control with access review cadence","D,I,S","Medium","2026-03-23","2026-04-14","TBD","TBD","docs/design/system-design-doc.md:396; docs/design/system-design-doc.md:397; docs/design/system-design-doc.md:398"
"JTS-R-022","Security and Access Control","Network security control documentation is incomplete","4/3/5=60","4/3/4=48","High","Conditional","Cloud Security Architect + Ops Lead","Open","2","KRI-022","Network control docs incomplete at release review","Populate network security matrix with enforceable controls","Security waiver with short expiry and focused monitoring","D,S,G","Medium","2026-03-23","2026-04-18","TBD","TBD","docs/design/system-design-doc.md:424; docs/design/system-design-doc.md:426"
"JTS-R-023","Recovery and Rollback","Failover/recovery sections are placeholders across core stores","5/3/5=75","5/3/4=60","Critical","Block","Operations/Release Authority","Open","1","KRI-023","Failover/recovery sections incomplete for critical stores","Define and validate failover/recovery procedures by store","Block production cutover until recovery evidence exists","D,Rc,G","Low","2026-03-23","2026-04-30","TBD","TBD","docs/design/system-design-doc.md:316; docs/design/system-design-doc.md:342; docs/design/system-design-doc.md:359"
"JTS-R-024","Security and Access Control","Dev host config includes fallback secrets for auth values","5/3/4=60","5/3/3=45","Critical","Block","Cloud Security Architect + Platform Lead","Open","2","KRI-024","Any fallback secret present in active release configuration","Remove fallback secrets and require managed secret source only","Halt release and rotate impacted credentials","I,S,G","Medium","2026-03-23","2026-04-06","TBD","TBD","modules/systems/hil-web-service-host-dev/default.nix:65; modules/systems/hil-web-service-host-dev/default.nix:67"
"JTS-R-025","Infrastructure and Deployment","Container image tags use mutable latest references in host config","4/3/4=48","4/3/3=36","Medium","Conditional","Platform/DevOps Lead","Open","2","KRI-025","Mutable image tag usage detected in release configuration","Pin image tags/digests in deploy paths","Freeze deploy rollout pending digest pinning","I,S","Medium","2026-03-23","2026-04-17","TBD","TBD","modules/systems/hil-web-service-host-dev/default.nix:258; modules/systems/hil-web-service-host-dev/default.nix:336"
"JTS-R-026","Security and Access Control","Default Keycloak bootstrap/admin and DB passwords exist in service config defaults","5/3/4=60","5/3/3=45","Critical","Block","Cloud Security Architect + Platform Lead","Open","2","KRI-026","Default admin/password values present in runtime configuration","Remove defaults and enforce secret injection precondition","Rotate credentials and block release until verified","I,S","Medium","2026-03-23","2026-04-06","TBD","TBD","modules/systems/hil-web-service-host-dev/default.nix:293; modules/systems/hil-web-service-host-dev/default.nix:297"
"JTS-R-027","Security and Access Control","Infrastructure contains public/external exposure and destructive DB/S3 lifecycle defaults","5/3/4=60","5/3/3=45","Critical","Block","Cloud Security Architect + Infrastructure Lead","Open","2","KRI-027","Public exposure/destructive lifecycle defaults detected","Harden SG/DB/S3 settings and add policy checks","Pause release and apply compensating access controls","I,S,Rc","Medium","2026-03-23","2026-04-16","TBD","TBD","packages/jts-deploy/infrastructure/dependencies/main.tf:943; packages/jts-deploy/infrastructure/dependencies/main.tf:1001; packages/jts-deploy/infrastructure/dependencies/main.tf:1002; packages/jts-deploy/infrastructure/dependencies/main.tf:1207"
"JTS-R-028","Security and Access Control","Static SSH authorized keys are embedded in instance user data","5/3/4=60","5/3/3=45","Critical","Block","Cloud Security Architect + Infrastructure Lead","Open","2","KRI-028","Static embedded SSH keys remain in infrastructure code","Move to managed key distribution and rotate keys","Revoke exposed keys and audit host access","I,S,G","Medium","2026-03-23","2026-04-10","TBD","TBD","packages/jts-deploy/infrastructure/dependencies/main.tf:1112; packages/jts-deploy/infrastructure/dependencies/main.tf:1115"
"JTS-R-029","Data Pipeline and Quality","DVC workflow relies on manual push discipline; missing push breaks branch reproducibility","3/3/4=36","3/3/3=27","Medium","Conditional","Data Governance Lead + DevOps Lead","Open","3","KRI-029","DVC/Nix reproducibility check fails for branch/release candidate","Enforce CI check for example-forms build and DVC object availability","Block merge/release for data pointer changes","D,I,T,G","Medium","2026-03-23","2026-04-24","TBD","TBD","docs/DVC-README.md:8; docs/DVC-README.md:170; docs/DVC-README.md:177"
"JTS-R-030","Application Workflow Integrity","High complexity/churn hotspots in core workflows increase regression probability","4/4/4=64","4/4/3=48","High","Conditional","Application Engineering Lead","Open","2","KRI-030","Hotspot complexity trend worsens across release cycles","Execute hotspot decomposition plan with changed-file gates","Restrict risky change windows and add dual-path validation","D,I,T,R","Medium","2026-03-23","2026-05-15","TBD","TBD","complexity_analysis_exec_summary.md:30; complexity_analysis_exec_summary.md:40; complexity_analysis.md:65"
"JTS-R-031","Forecasting and Estimation Governance","Optimism bias and strategic misrepresentation drive underestimated effort/risk and overstated delivery confidence","5/4/5=100","5/4/4=80","Critical","Block","Program/Delivery Authority + Risk Coordinator","Open","1","KRI-031","Forecast bias index >15% for 2 cycles or >30% in one cycle","Require independent estimate challenge and explicit bias-adjusted uplift before gate review","Apply contingency reserve and re-baseline commitments before go/no-go","D,R,G","Low","2026-03-23","2026-04-22","TBD","TBD","risk_register_plan.md:48; risk_register_plan.md:300; risk_scoring_rubric.md:115"
"JTS-R-032","Forecasting and Estimation Governance","Average-based reporting masks fat-tail black swan overruns in schedule/cost exposure","5/3/5=75","5/3/4=60","Critical","Block","Program/Delivery Authority + Cross-functional Risk Board","Open","1","KRI-032","Tail overrun incidence exceeds threshold or any >100% overrun without approved contingency","Add tail-distribution reporting and stress-test release plan at P95 assumptions","Freeze release decision and trigger black-swan contingency review","D,R,G","Low","2026-03-23","2026-04-22","TBD","TBD","risk_register_plan.md:270; risk_register_plan.md:300; risk_scoring_rubric.md:129"
"JTS-R-033","Forecasting and Estimation Governance","Release planning relies on inside-view assumptions without reference class forecasting calibration","4/4/5=80","4/4/4=64","Critical","Block","Risk Coordinator + Program/Delivery Authority","Open","1","KRI-033","Reference class forecast coverage <100% for release-significant estimates","Build and enforce reference class library with documented comparator quality","No-go until outside-view forecast packet is complete and approved","D,R,G","Low","2026-03-23","2026-04-20","TBD","TBD","risk_register_plan.md:48; risk_register_plan.md:304; risk_scoring_rubric.md:119"
